wavelength(nm), voltage(V)
1463.253, 107.157
2169.782,  88.068
2070.396,  95.093
2306.547,  87.403
1785.490,  91.876
1275.668,  84.893
1440.850, 136.825
2154.586, 102.585
1663.610, 113.181
1863.669,  87.004
1878.854, 148.641
1919.509, 135.679
1373.286, 131.454
1275.473,  97.104
1240.432, 120.851
1873.991,  94.491
2048.765,  94.496
1344.200,  78.550
1673.998, 121.655
1533.707,  65.182
1364.713,  92.863
1680.315,  98.510
2047.998, 111.486
1753.785, 121.245
1865.423,  94.601
1375.133,  88.664
1937.858, 100.054
1294.889,  66.715
2052.753,  91.919
1262.440, 104.812
1383.654, 134.441
2086.826, 118.582
1544.695,  77.738
1798.122, 126.997
1749.668, 128.276
1211.437, 120.475
1370.693, 135.303
1471.158,  56.322
1917.459, 101.729
1525.370,  82.679
1815.992,  93.800
1200.755,  51.346
1432.171,  87.190
1342.338, 160.033
1518.945,  69.454
1477.482, 128.003
1717.407, 124.336
1292.699, 118.302
1671.579,  93.418
1710.961,  93.301
1368.324,  87.111
1641.030, 125.793
1205.655,  94.555
2040.196,  81.586
1631.422, 114.160
1259.270,  90.938
1728.387,  93.783
2072.973, 103.699
1278.314,  88.633
1425.979, 113.829
1426.630, 140.747
1859.093, 110.630
1480.819, 108.642
1317.453, 134.465
1535.552, 122.002
1350.931,  78.612
1230.922,  97.397
1367.878, 129.894
2115.693,  90.127
1324.820, 131.417
1379.255, 136.414
1720.155, 101.304
1282.362, 119.270
1628.446,  90.438
1456.283, 114.904
1586.470, 119.236
1469.785, 108.281
1471.999, 124.254
1558.691, 121.291
1407.985,  90.545
1244.058,  76.985
1634.451, 103.191
1253.013,  91.106
1337.052, 113.954
1604.124, 127.929
1438.887,  88.182
1584.110, 155.834
1688.496,  86.006
1893.203,  93.171
1815.989,  64.753
1325.236,  75.904
1632.709,  82.301
1784.071, 103.378
1368.325,  86.489
1475.887, 108.068
2007.565, 120.153
1309.920, 109.196
1442.709, 130.539
1347.416, 124.994
1290.797, 123.275
1657.050,  68.428
2181.501, 132.275
1322.765, 137.198
2172.743,  72.923
1271.456,  76.321
1988.709, 138.406
1226.353, 144.542
1210.714,  92.389
1267.435, 127.311
1327.163, 111.399
1685.591, 129.348
1736.652, 124.149
1884.927, 107.970
1309.837, 126.362
1473.325, 119.211
1378.627, 100.595
1618.926,  87.645
1438.645, 138.342
1339.411, 122.732
1473.403, 116.068
1414.411, 144.341
1692.523, 140.482
1966.411, 114.498
1998.180, 131.049
1488.922, 128.459
1857.220,  94.984
1310.471,  89.712
2091.322, 129.259
1380.508, 134.172
2159.975,  65.712
1328.958,  73.331
1655.183, 112.459
1888.981,  85.342
1684.460,  81.437
1327.242,  73.687
1843.921, 104.399
1826.301, 117.625
1751.820, 100.118
1230.923, 102.033
1877.628, 109.579
1867.847, 114.747
1373.530,  97.345
2223.348, 110.326
1542.563, 104.294
1880.498, 117.620
1794.468, 132.470
1495.905, 122.315
1216.229, 109.753
1482.262, 103.243
2028.224, 148.059
1235.544,  88.515
1252.369,  83.755
2181.063, 122.631
2161.291,  88.679
1272.991,  70.299
1656.897,  76.992
2084.902, 157.364
1605.614, 111.750
1853.954, 120.454
1618.770,  82.884
2108.661,  84.820
1531.899, 110.535
1386.252, 121.546
1601.476, 120.333
1735.543, 122.798
1778.950,  69.082
1986.761, 138.374
1451.755,  99.271
1305.279,  85.371
1307.967, 120.312
1306.935,  85.621
1612.200, 151.868
2129.152, 101.505
1416.329, 106.505
2090.223, 108.452
1702.157, 114.825
1271.094, 127.221
2017.928,  69.336
1654.097,  96.526
2115.290, 103.517
1248.109,  94.850
1218.028,  83.715
2944.094,  62.150
1696.031,  98.563
1668.289, 135.769
1783.448, 113.684
1692.463,  91.978
1314.744, 102.898
1252.053,  95.092
2153.605,  95.202
1311.207,  84.850
1252.009, 100.633
1692.651, 101.284
1222.691,  95.186
1642.408,  87.767
1833.256, 141.296
2067.633, 102.621
1948.927,  99.771
1382.725, 104.498
1717.778, 107.061
1278.642, 112.509
1237.324,  70.115
1494.793,  65.357
2106.428,  92.838
1293.938,  62.785
1288.162, 106.422
1635.116, 130.399
1632.799,  90.752
1892.685,  89.599
1358.551, 119.222
1208.606, 119.685
2174.930, 114.794
1707.793, 105.864
1515.592, 106.412
2028.418, 113.540
1530.109, 106.266
1228.608, 101.972
1512.623, 105.332
1465.413,  65.917
1527.523,  99.457
1467.179,  92.194
1895.442,  82.908
2175.601,  93.011
1574.877, 103.279
2154.467, 112.961
1588.360, 107.389
1793.073,  73.955
1215.832,  82.657
2033.226,  99.239
1491.449,  84.502
1264.195,  91.885
1864.159,  93.547
1567.938, 142.635
1627.128,  59.018
1913.807,  81.907
1337.822, 126.347
2154.088, 141.500
1236.384, 105.844
1260.389, 107.956
1743.984,  64.453
1463.174,  78.794
1271.202, 101.636
1865.117, 127.300
1570.422,  93.630
1578.366,  85.763
1907.742, 105.989
1236.243,  88.838
1603.256, 107.118
1736.913, 120.809
1310.025, 117.558
2154.970, 109.220
1864.437,  92.297
1731.767, 137.782
1468.103,  73.454
1580.244, 112.513
1758.009, 131.116
1496.297, 100.897
1266.885,  93.216
1431.356,  96.415
1578.702, 107.803
1499.535,  92.263
1326.382,  97.219
1252.933, 100.193
1941.241,  92.325
1238.126,  71.401
1344.710, 136.229
1338.118, 141.943
1461.082, 107.505
1687.188, 103.129
1420.982, 158.379
1866.356, 107.065
2203.743,  75.704
1828.051,  53.738
1860.656, 114.341
1357.168, 165.373
1498.580,  79.636
1701.645, 104.177
1500.219, 128.375
1619.831, 108.275
1598.169,  96.051
1579.253,  77.339
1549.402,  98.800
1362.563, 110.038
1892.148,  93.377
1811.580, 100.889
2163.154,  74.427
2070.419,  52.836
2408.784, 114.346
1388.277, 139.263
1267.727,  79.713
1324.235, 117.903
1411.094, 103.329
2582.785, 116.680
2035.091, 101.282
1358.716, 100.493
1421.661,  95.770
1757.100,  96.635
2002.578, 148.280
2037.536,  94.273
1382.274,  85.605
1470.996, 154.350
1252.552, 125.319
1267.531, 126.991
1825.654, 108.179
1497.235, 112.421
1234.830,  80.309
1338.820,  58.631
1805.417,  81.078
1521.375, 150.992
1203.399,  85.956
1887.077, 124.272
1224.183, 128.656
1586.818, 118.621
2119.577,  82.233
1866.282,  86.166
1515.229, 121.542
1629.574,  85.197
1535.699,  63.179
1609.891,  89.959
1684.494, 105.962
1275.944,  94.465
2123.537,  95.327
2651.570,  97.067
1429.567,  83.105
1835.544,  81.892
2144.388,  76.973
1660.257, 108.809
1800.245,  75.791
2165.581, 107.604
1716.484, 109.276
1996.399,  70.295
1454.732,  91.562
1451.448, 110.803
1281.765, 143.213
2138.392, 112.616
2424.234, 152.308
1417.098, 139.411
1510.820, 100.885
1260.512, 110.322
1322.631,  84.829
1611.455, 129.881
2442.516,  79.578
1386.892, 127.313
1228.254,  74.402
2349.595,  95.296
2905.395, 123.352
1431.645,  94.326
1892.595, 101.524
1873.959, 115.127
2008.690, 135.431
2193.819, 116.881
1755.115, 162.328
1292.647, 119.240
1629.432,  74.627
1680.200, 128.572
1729.307, 117.858
1631.380,  84.291
1808.063, 104.768
1721.537, 109.863
1954.323,  99.630
2105.880,  96.950
1216.560,  69.911
1867.800, 124.953
1214.328, 116.924
1569.423, 131.769
1222.171,  97.742
1654.762, 133.681
1253.332,  79.503
1609.107, 130.761
2024.777,  87.075
1966.283, 126.765
1546.842,  87.185
2781.052,  45.690
1853.051,  74.977
1889.425, 100.725
1752.051, 101.797
1370.986,  75.526
1594.858,  98.115
1274.197,  74.341
1632.024,  99.085
1321.751, 149.202
1315.889,  57.261
2406.197,  88.529
2009.807,  92.676
1228.358,  71.993
1425.621,  86.510
1362.246,  92.630
1348.425, 102.006
1417.364, 133.676
1601.041,  84.828
1305.850, 120.572
1586.078,  55.159
1211.925, 129.999
1268.535, 115.496
1224.102,  90.563
1564.662,  97.523
1315.775,  90.827
1852.364,  95.965
2189.653, 104.692
1831.028, 126.815
1537.886,  77.301
1714.210,  91.586
2613.720, 125.987
1582.269,  83.155
1225.961,  78.028
1317.652,  59.013
1732.406,  91.142
1215.068, 116.727
1431.932,  92.459
1324.649, 134.923
3029.159,  75.825
1320.468, 114.599
1345.380,  66.367
1216.578,  96.578
1868.930, 131.384
1752.932,  84.727
1726.863, 111.149
2020.837, 114.014
2163.363, 110.619
1226.101, 120.270
1482.601,  86.901
1893.484,  87.542
1559.012,  88.884
1647.699,  74.923
1253.524, 112.854
1584.953, 109.347
1205.128, 101.488
1663.420,  95.950
1472.225,  82.354
1274.456,  82.948
1655.842,  66.499
1460.334,  91.648
2209.176,  75.664
2162.782, 122.731
1588.132, 122.144
1672.576,  90.982
1454.225, 103.990
1279.880, 133.941
1581.463,  83.102
2108.518, 118.424
1700.262, 133.738
1484.186,  90.023
1559.746,  88.950
1779.108,  95.629
1919.989,  79.558
2087.164, 111.250
1590.246,  96.171
1316.886, 165.274
2166.907,  62.815
1362.180, 136.656
1975.336, 139.559
1215.487, 139.368
1548.732, 164.970
1433.944, 103.050
1546.315, 150.618
1458.297, 123.506
1243.126, 117.426
1246.212, 155.633
1420.963,  85.560
1278.273,  72.199
2055.338, 121.271
1275.018,  96.687
1407.514,  74.570
1221.667,  76.345
1390.198,  65.131
1412.810, 110.651
1649.769,  69.349
2165.166, 115.132
1350.358, 101.840
1870.097, 145.969
1716.251,  79.928
1795.513,  88.338
1435.657,  94.523
1389.629, 110.363
1374.249, 121.335
1213.748, 131.973
1443.763,  60.627
2001.124,  92.736
1565.397,  97.316
1614.253, 138.534
1578.066, 144.859
1783.217, 130.206
1862.524,  76.961
1215.404, 119.496
2122.702,  91.769
1626.228, 101.964
1971.609, 103.283
1586.831, 112.664
1415.042, 104.888
1731.436,  82.559
2190.952,  93.035
1272.654,  71.906
1539.814,  93.416
1323.943, 104.120
1626.080,  97.246
1909.090, 133.114
2481.790,  92.718
1685.994,  67.200
1321.058, 116.663
1771.741,  87.796
1552.182,  79.309
1531.050, 107.240
2141.364, 110.637
2161.271,  89.287
1551.053, 126.602
1939.342, 135.144
2080.545, 105.842
1303.843,  90.312
1482.557, 102.198
1813.957, 131.163
1497.375,  77.633
1809.388,  89.852
1555.957,  74.537
2162.127,  89.597
1417.456,  87.898
1237.445,  67.496
1898.781,  89.183
1500.491,  95.570
2083.365, 124.947
1986.896, 122.163
2200.654, 109.880
1687.101, 126.537
2001.146,  96.512
1530.634,  71.391
1391.396,  97.645
2242.535,  84.805
1448.298, 112.094
1422.289,  54.198
2299.451, 119.279
1471.275, 108.357
1700.706, 103.702
1445.237, 126.440
1198.153,  67.635
1463.811, 110.271
1486.898,  97.204
1581.846,  80.546
1303.656, 113.870
1251.826,  78.891
1867.007, 107.762
2252.656,  99.281
2074.061, 140.419
1382.989,  83.515
1305.490,  90.226
1689.368, 112.420
1482.776,  81.234
2053.936, 138.358
1548.916, 107.335
1858.224,  98.665
1813.422,  92.807
1384.635,  70.754
1298.352, 105.500
1431.982, 118.806
2057.143, 139.484
1406.307,  81.551
1224.790, 109.815
1900.771,  96.907
1340.505,  74.666
1861.990,  74.586
2172.719,  98.391
1340.847,  97.222
1935.853,  83.841
1871.939, 153.985
1436.050,  83.728
1944.628,  90.970
1868.133, 137.344
2084.005, 110.246
1695.577,  96.168
1867.259, 111.459
1369.933, 121.873
1617.328,  84.087
1908.152, 125.508
1278.101, 121.000
1875.313, 127.302
1210.817, 149.979
1261.603,  96.351
1983.678,  96.651
1262.646, 113.718
1874.943, 102.560
1429.208, 130.058
1239.960, 131.342
2141.234, 118.050
1818.047, 108.825
1526.187,  93.106
2073.254, 110.142
1304.950,  98.133
1293.783,  71.133
2185.057,  85.634
1239.300,  82.801
1527.188,  98.977
1720.846,  97.379
1639.350,  94.151
1837.639, 136.684
1243.380,  86.777
2276.206, 146.465
2018.306,  97.466
1507.274, 104.738
1562.813, 138.708
1235.868,  92.380
1224.060, 135.043
1587.082, 112.294
1619.732, 121.147
1663.840, 142.277
1263.375, 125.767
1866.678, 107.904
2064.729,  99.721
1206.343,  95.074
1860.894,  83.209
1797.418, 168.907
2287.314,  86.508
1387.246, 141.628
2451.355,  88.523
2189.203,  79.584
1312.611,  69.138
1956.805,  85.972
2123.277, 101.937
1456.948,  86.132
2188.022,  88.422
2018.247,  72.971
1446.113,  84.450
1232.341, 119.548
1555.420,  59.371
2131.965, 115.847
1893.678, 155.435
1473.260,  79.814
1685.667, 126.343
2140.242, 153.544
1626.788, 102.794
1514.001,  95.656
1736.113, 113.031
1579.465, 133.856
1989.320,  76.719
1418.683,  99.073
1462.227,  77.833
1340.339,  86.153
1652.609, 106.328
1405.291, 100.322
1486.715,  69.039
1306.097, 103.653
1618.355, 131.285
1730.865, 107.196
1737.785, 102.166
1515.802,  66.471
1796.179,  92.590
1956.897, 113.347
1286.284,  96.005
1346.554,  53.649
2042.232,  74.473
1280.795,  84.289
1391.880, 109.635
1393.490, 120.882
1424.071, 151.384
1281.887, 114.185
1581.682, 103.981
1508.763, 145.696
1283.488,  72.169
1886.590,  63.357
1776.205,  78.367
1321.836,  89.612
1853.307,  69.331
1359.450,  87.289
1346.885,  81.754
1867.200, 108.966
2133.363, 131.238
1349.411, 140.104
2249.383, 109.749
1555.492,  86.338
1768.311, 145.641
1208.986, 105.056
1831.804, 108.279
1810.112, 111.519
1941.276, 102.106
1815.640,  72.613
1909.951, 113.172
2055.529,  84.656
1956.044, 139.494
1299.204,  87.544
1768.447, 132.516
1272.756,  75.029
1860.044, 103.620
1866.099, 103.468
1205.415,  85.815
1998.097, 121.085
1364.937, 129.943
1455.216,  94.985
1817.113,  82.751
1685.911,  79.576
1709.803, 107.134
1225.393,  57.878
1812.295,  87.226
1683.487, 122.138
1378.030, 107.822
1388.771, 161.926
1866.955, 120.726
1299.394, 105.102
2101.834, 152.807
1608.805, 121.309
1437.941,  81.878
1428.395,  86.012
1403.473,  71.262
1364.164,  84.894
2150.226,  76.216
1705.710, 107.049
1971.851,  97.940
1942.962, 118.908
1348.253,  85.554
1546.547, 128.422
1736.577,  88.426
2237.049, 107.836
1928.127,  74.933
2098.474, 104.318
1655.216, 111.815
2112.708,  79.999
2042.529, 126.824
1329.513,  89.772
2033.705,  76.013
1446.793,  82.078
1209.854,  95.156
1324.673,  91.025
1670.344,  87.553
1213.311, 128.941
1386.722,  94.559
1420.357, 127.041
1753.793, 103.310
1683.171, 124.027
1953.378,  75.965
1862.768,  83.240
2078.292, 103.082
1261.664,  84.706
1552.071, 129.845
1401.325, 135.960
1245.030, 127.890
1917.126, 103.109
1307.469,  80.988
2951.771, 102.427
1990.081, 112.824
1234.343,  59.908
2064.899,  93.709
1988.986,  88.065
1504.572,  85.650
1830.163, 136.314
1640.420,  78.261
1553.821,  92.634
1248.325, 101.868
1803.294, 141.078
1742.913,  87.551
1207.129, 119.728
1958.280,  85.688
1664.972,  75.900
1331.825,  98.689
2085.744, 105.847
2123.392, 107.616
2197.450, 112.450
1341.716,  62.429
1293.762,  77.308
1620.369, 103.042
1508.377,  95.531
1526.383, 116.888
1279.784, 113.220
1715.788, 121.782
1806.621, 108.438
1889.896, 120.618
1676.573,  97.937
1395.117, 126.014
1716.937,  82.827
1388.921,  89.967
1434.349, 127.521
1551.712, 145.174
1425.140, 109.277
1424.173, 116.403
1683.674, 114.600
1826.934, 101.515
1808.172, 103.248
1492.137, 102.725
1858.469,  89.726
1869.537, 146.184
1920.136,  84.901
1483.859, 137.744
1652.297,  58.733
1217.072, 154.007
1272.958,  78.452
2227.127,  80.214
1657.832, 107.200
2124.502,  99.247
1869.137, 133.148
1326.695,  91.903
1907.647,  96.748
3505.329, 133.800
1268.894,  59.942
2119.635, 113.346
1740.581,  84.235
1200.878,  98.140
1212.797, 133.730
1364.042,  82.650
2050.134, 132.138
1498.079,  92.095
1300.209,  92.245
1539.407, 121.598
1563.385, 115.453
2063.841,  96.592
2097.185, 137.509
1645.240, 135.393
1970.446,  93.174
2263.911,  89.677
2420.663, 148.150
1745.244, 130.682
1344.033, 129.448
1596.631,  96.996
2253.509, 125.577
1358.603,  85.880
1766.943,  60.023
1525.499, 139.046
2154.512, 116.776
1392.642, 133.800
1400.765, 117.247
1862.315, 136.435
1870.983, 122.848
1805.184, 127.222
1244.342,  80.783
1274.116,  87.119
1375.882,  83.044
2088.707, 102.417
1503.653,  85.909
2093.727,  91.457
1588.643, 116.488
1821.889, 130.657
1850.794, 154.011
1640.489, 143.777
2069.758,  94.620
1315.197, 135.343
1810.129, 115.847
1728.870, 113.398
2067.620,  73.417
1274.084,  90.478
1860.593,  50.769
1200.465,  69.816
2595.861, 105.941
2173.277,  93.940
1894.787,  92.463
1539.763,  76.009
1547.858, 100.455
1472.548, 111.298
1225.282, 105.595
2415.501, 107.543
1709.660, 127.283
1200.962,  91.623
1800.057, 117.944
1285.158,  81.068
1338.202,  98.490
2009.428, 110.754
1448.747,  91.838
1220.270,  72.699
1634.323, 115.750
1450.685,  64.364
1968.094, 112.639
1546.524, 124.512
1450.684,  95.624
2353.956,  94.884
1919.315,  88.988
1369.203, 118.911
2144.175,  72.203
1760.480, 102.572
1905.087,  76.765
2086.704, 124.598
1374.581, 102.566
1816.861,  95.139
1849.343, 117.588
2149.248, 138.557
1420.689, 114.581
1275.800, 105.288
2112.791,  69.122
1226.981,  97.633
1753.471, 100.634
1889.118,  81.885
1262.265, 155.199
1675.597,  96.250
2077.092, 149.835
2035.631, 129.134
1542.745,  83.023
1312.675, 146.878
1349.071,  59.397
1834.826, 119.403
1266.871,  60.473
1610.448,  82.579
2177.977, 124.516
2021.151, 144.896
1367.935, 105.617
1368.674,  89.557
2027.036, 115.978
1278.206, 116.436
1628.955,  85.097
1935.892, 124.068
1769.811, 101.911
1832.739, 101.731
1266.430, 103.921
1866.594, 113.878
1390.637, 105.070
1763.147, 138.418
2059.474,  91.719
1770.211, 149.236
1276.582, 109.640
1202.562, 123.024
1618.926, 122.967
1943.245, 111.625
2064.761, 111.993
1724.689,  74.999
2151.124,  98.177
1193.615,  35.541
1518.206, 143.797
1622.227, 114.328
1448.299, 123.329
2173.680, 130.194
1582.534,  90.038
1404.833,  73.616
1727.807,  87.940
1298.848, 103.784
1632.168,  78.271
2099.881, 100.546
1275.690, 128.419
1552.541,  84.008
2046.967, 120.015
1212.732,  81.766
1962.181,  67.839
2157.680, 131.624
1582.928, 106.563
1217.731, 109.868
1335.145, 109.551
1832.409,  71.200
1411.259, 114.850
1317.873, 122.416
1497.066,  71.820
1421.243,  74.290
1738.116,  95.055
1679.890,  90.696
1898.168,  91.639
2119.704,  80.434
1272.241,  76.560
1829.956, 100.794
2250.738,  85.671
1303.048, 130.381
1821.067,  98.153
1823.462, 101.424
1584.753,  74.961
1248.556, 133.852
2197.483, 122.603
1665.978,  75.787
1555.638, 113.067
1655.086,  92.372
1847.623,  96.595
2053.990, 133.149
1744.812, 112.381
1339.339, 117.094
1440.253,  93.180
1865.641, 108.653
1511.010,  94.871
1726.612,  98.405
1798.026, 122.106
1450.119,  96.440
1234.902, 133.252
1259.944, 138.982
2034.658, 124.977
1861.999,  69.251
1805.019, 103.523
2137.282,  80.352
1698.088, 137.281
1883.908, 100.732
1278.082, 109.019
1446.424,  83.369
2148.340, 124.598
1349.172,  75.462
1580.128, 107.712
1868.265,  83.809
1248.782, 104.238
1549.621, 113.341
1349.835, 122.257
1597.739,  81.618
1699.473,  68.236
1907.089, 138.955
1527.521, 116.883
1287.491,  89.149
2049.357,  78.743
1758.165, 134.141
1850.441, 104.138
1278.156, 128.082
1250.610,  85.339
2127.967, 129.245
1661.832,  70.487
1481.572, 103.757
1210.476, 105.355
1937.828, 127.085
2049.296,  80.368
1628.337, 128.782
1731.872, 136.971
1210.492, 120.700
1546.755,  90.329
1507.019,  85.747
3418.763, 136.167
1381.472,  95.651
1535.091, 110.450
1489.286,  83.524
1490.987, 139.143
1618.011, 148.460
1382.678, 114.818
1395.343,  94.141
1247.627,  77.589
1396.316,  74.007
1781.646, 124.184
2128.229, 163.114
2674.384,  98.891
2006.658,  81.047
1968.365, 147.156
1310.036,  89.702
1385.608, 110.528
2789.906, 146.091
1265.894, 114.030
1979.675, 113.844
1310.624,  94.235
2072.429, 141.462
1302.162, 116.505
1774.990, 100.005
1225.135,  78.320
2310.351,  89.582
2134.152, 138.980
1796.428,  99.829
1607.529,  60.262
1609.686,  64.587
1387.116,  95.644
1579.111,  95.639
2119.097, 119.104
1508.626, 104.818
1937.055, 122.845
1634.489,  85.064
1621.254,  88.983
1282.396, 115.376
1343.488,  79.829
1534.536,  87.419
1621.769,  89.720
1927.044,  78.484
1601.986, 100.292
1414.521, 111.100
1792.259, 113.262
1598.296,  86.801
2264.492,  87.406
1251.600,  84.662
2056.707,  87.647
1996.199,  94.929
1422.665, 100.193
1391.728, 105.513
2005.981, 109.271
1456.754,  84.686
1303.945, 100.875
1855.444, 100.683
1207.179,  79.121
1360.840, 107.871
1845.068, 131.192
1403.816,  94.134
2153.126,  84.832
1425.226,  99.183
1272.502, 100.703
1943.317,  73.135
1542.577, 108.451
1847.447,  92.866
2578.348,  97.298
1401.151, 104.398
1903.985, 135.817
1829.226, 128.806
1480.884, 129.331
2142.316, 131.622
2131.062, 145.196
1229.321,  95.224
1700.893,  59.642
1271.924,  77.640
1248.544, 147.610
1478.154, 134.892
1336.186,  90.713
1340.367, 121.124
1605.344,  71.147
2025.736,  89.777
1255.098, 139.819
1250.825, 123.658
1347.495, 109.646
1265.447, 115.741
1739.582, 126.461
1699.447,  81.361
1640.683, 147.082
2051.905, 120.044
1602.911,  89.774
1567.490,  87.153
1934.531, 158.147
1866.373, 108.911
1247.219,  81.411
1317.165, 140.724
1860.428,  66.496
1732.763, 117.073
1602.943,  83.868
1709.763,  95.026
2138.693, 100.475
1604.376, 127.681
2443.123,  81.901
1462.955, 129.444
1482.383,  92.606
2000.151, 100.759
1340.333, 147.127
1417.952,  83.547
1213.460, 101.386
1387.688, 103.969
1199.610,  86.681
1275.960, 119.242
1912.786,  97.470
1524.969, 168.693
1559.581,  74.987
1444.570,  87.158
1361.254, 121.251
1453.201,  89.660
1439.477, 143.399
1800.133,  80.841
1544.400,  77.802
2095.758, 118.215
1465.732,  89.022
1219.632,  87.062
1798.266, 101.667
1359.496, 143.224
1291.534, 134.850
2020.551,  81.931
1549.945,  95.406
1470.122, 152.437
1373.799, 119.200
1260.593, 114.525
2562.171, 118.383
1360.238, 102.312
1246.798, 123.735
1439.070, 101.906
1511.906, 101.338
1454.807, 146.703
1704.457, 141.548
1344.557,  83.011
1426.885, 117.446
1216.034, 108.185
1225.590, 101.424
1437.162, 128.219
1832.612,  77.134
2099.655,  78.532
2123.109, 136.658
1558.489, 131.099
1488.336, 138.109
1369.070, 113.242
1625.260,  57.305
1970.600, 112.224
1712.926,  75.148
1952.080,  83.078
2039.754,  97.437
2506.422, 103.247
2388.731,  72.198
2132.307,  91.776
1500.349,  88.446
1807.161,  71.020
1573.011, 130.643
2268.822, 112.198
2068.428,  96.575
1488.333,  77.144
1226.978, 112.777
1272.867,  94.831
1487.798, 105.186
1442.415,  93.527
1400.722,  92.102
1634.204, 143.396
1577.972, 107.659
1665.000, 114.373
1312.648,  93.397
1425.762,  76.848
2150.317,  77.127
1243.420,  82.246
1871.112,  99.538
1336.359,  67.310
1502.900,  77.836
2155.355, 107.792
2043.198, 127.508
1966.695,  84.669
1662.631, 105.754
1871.033, 149.458
1209.221,  66.686
1813.491, 101.142
1892.847, 124.861
1580.404,  87.385
3856.942, 146.058
1878.757,  86.201
1577.358,  72.861
1388.933,  74.804
1514.752,  87.237
1335.922, 118.038
1525.619,  96.986
1358.784,  95.309
1494.773, 105.181
1336.530,  94.181
1293.617, 130.028
2175.800, 153.976
1858.644, 147.262
1984.752, 127.510
1314.841, 101.773
1960.324,  75.950
1277.664, 114.825
1205.229, 110.155
2186.172,  66.375
1864.151,  84.718
1403.223, 105.247
1444.799, 149.851
2141.138,  79.930
1474.254, 108.245
1932.806, 114.985
1645.866,  99.252
2021.508,  85.743
1276.701, 107.233
1595.819,  86.035
1264.464, 106.609
1357.575,  71.782
1301.431,  49.899
2156.474, 121.834
1492.440, 102.642
1898.347, 114.635
1862.130,  68.973
2141.936, 125.610
2371.268,  85.380
1400.472,  81.209
1746.632,  84.911
1345.452,  90.739
2187.499, 156.253
1457.427, 109.282
1329.039,  93.622
1365.444, 118.221
1418.819, 135.626
1578.844,  84.039
1509.591,  99.750
1852.251,  76.419
1871.650, 154.301
2187.950, 111.320
1784.465, 139.359
1265.755, 125.617
1615.771,  87.596
2056.487,  69.315
1719.115, 104.920
1726.597, 111.992
1222.645,  91.689
1530.323,  93.696
1945.081, 110.366
2112.522,  63.123
1896.349, 117.951
1850.436, 103.442
1305.457, 115.565
1869.521, 134.359
1401.998, 127.433
1521.511, 115.375
1255.500,  93.084
1967.354, 138.977
1276.809, 143.362
1372.784, 114.926
1852.808, 114.004
1488.051, 142.441
1380.957,  70.578
1292.766, 119.277
1395.995, 111.429
1584.468,  91.886
1371.114,  84.327
1580.096, 111.130
1581.750, 129.112
1864.132,  90.061
1765.930,  85.353
1409.585,  67.898
1260.367, 117.790
1208.501,  92.503
1507.632,  78.960
1323.429,  73.632
2004.758,  74.965
1270.368,  95.903
1263.177, 101.122
1244.692,  76.204
1487.028, 103.806
1403.838, 108.615
1522.751, 121.464
1565.658, 121.275
1980.435, 128.598
1738.925, 116.392
2104.871, 125.020
2175.923,  78.350
1761.478,  95.025
1332.700,  62.434
1865.856,  92.827
2212.509,  65.743
1316.779, 116.136
1361.579, 122.412
1327.214,  65.181
2105.451,  86.265
1879.918,  76.799
2034.965, 111.586
1260.972, 138.622
1440.814,  96.822
1339.596, 123.360
2432.439,  84.234
1590.978,  66.518
1540.409,  86.566
1224.865,  72.407
2216.152,  73.560
1337.914,  74.252
1535.546,  85.819
1502.068,  77.850
2011.591,  84.459
1238.771, 103.214
2081.796,  85.327
1236.642,  92.216
2230.816, 118.976
1262.633,  89.424
1278.091, 122.119
1264.714, 143.378
1523.679,  90.990
2101.870,  91.535
1314.216, 118.063
1864.452,  94.804
1518.127, 151.659
2129.171,  72.188
1209.480, 121.989
1206.068, 105.462
1931.053, 113.788
1377.507,  96.269
1756.929, 111.923
1279.019, 134.232
1357.209, 106.812
2169.820,  95.142
1504.679, 134.958
1915.221, 118.714
1477.300, 103.378
1294.917,  87.655
1340.538,  89.546
1739.842,  60.934
1845.005,  78.420
1398.333, 134.868
2103.165, 103.054
1590.192, 125.522
1645.831, 112.790
2088.138, 113.533
1456.508, 109.725
1339.519, 107.885
1873.028, 103.285
1284.747, 118.776
1867.810, 133.054
1544.898, 107.645
1866.985, 107.921
1540.463, 118.313
2095.507,  78.085
1208.279, 107.589
1452.261, 168.270
1972.699,  88.463
1605.149,  80.292
1878.369,  87.897
1474.707, 105.849
1757.840,  98.789
1608.654, 126.281
1888.778, 112.231
1950.008,  91.086
3906.994, 145.980
1512.565, 100.999
1501.186,  94.200
2062.200, 101.796
2231.751, 106.536
1791.556,  96.962
1671.023, 110.858
1504.134,  56.428
1544.270,  76.846
1245.760,  98.302
1940.919,  81.948
1557.636,  84.902
1883.156, 145.331
1430.192, 122.587
1585.665,  79.878
1681.798,  84.951
1363.659, 115.807
2154.861, 102.549
1751.503,  93.834
1804.414,  88.105
3169.546,  70.312
1377.354,  77.682
2079.361, 113.409
2178.119, 116.392
1813.331,  72.463
1215.341,  79.246
2268.421,  84.767
1865.635, 106.444
2192.430, 141.300
1729.664,  64.889
1402.414,  79.908
1496.397,  72.102
1933.894,  90.998
1415.272,  92.129
1747.504,  90.886
1748.782,  83.178
1945.684, 142.628
1551.371,  68.821
1415.340, 121.206
2057.578,  90.439
1272.259,  86.505
1426.860, 105.784
